entry_id,evidence_status,cohort_id,model,fit_period,chronology,market_quote_timing,n,log_loss,brier,baseline_entry_id,log_loss_delta_vs_baseline,market_reference_entry_id,incremental_log_loss_delta_vs_market,conditional_event_interval_2_5,conditional_event_interval_97_5,metric_source_path,metric_source_sha256,detail_source_path,detail_source_sha256,notes
MULTI01-pinnacle_calibration_logistic,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,pinnacle calibration logistic,Annual refit on preceding five years; fixed settings,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,31021,0.5752360908345159,0.19685900233509432,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
MULTI01-pinnacle_raw_normalized,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,pinnacle raw normalized,No fit,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,31021,0.5752993765093148,0.19686835851995463,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
MULTI01-pinnacle_calibration_plus_joint,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,pinnacle calibration plus joint,Annual refit on preceding five years; fixed settings,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,31021,0.5813982188334074,0.19859716068354152,,,MULTI01-pinnacle_calibration_logistic,0.006162127998891487,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,"The primary augmentation is worse in 13/13 seasons. Equal-season delta +0.00628350, approximate t95% [+0.00421969, +0.00834730]; this is not an event-bootstrap interval."
MULTI01-shallow_hist_gradient_boosting,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,shallow hist gradient boosting,Annual refit on preceding five years; fixed settings,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,31021,0.5989139842635569,0.20682912715702026,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
MULTI01-joint_ridge_logistic,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,joint ridge logistic,Annual refit on preceding five years; fixed settings,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,31021,0.6036946917699281,0.20788840049422644,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
MULTI01-joint_player_surface_deviations,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,joint player surface deviations,Annual refit on preceding five years; fixed settings,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,31021,0.6042284000448928,0.2080198489049739,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
MULTI01-elo_probability_pool,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,elo probability pool,Fixed K32; prequential states initialized from 2005,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,31021,0.6088278717455992,0.2109702745237239,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
MULTI01-lagged_market_elo,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,lagged market elo,Fixed K32; prequential states initialized from 2005,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,31021,0.6094913354933595,0.21130749728178913,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
MULTI01-market_memory_ridge,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,market memory ridge,"Weekly past-price ridge; five-year window, 365-day half-life",reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,31021,0.6117170261966913,0.21223696742967926,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
MULTI01-elo_overall_fixed,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,elo overall fixed,Fixed K32; prequential states initialized from 2005,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,31021,0.614175914990956,0.2130435214501816,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
